Serum,Virus,Study,ID50 (Neutralization Titer)
Polyclonal AIIMS_329 78-months,QH0692_42,Mishra2019_dataset1,200
Polyclonal AIIMS_329 82-months,QH0692_42,Mishra2019_dataset1,238
Polyclonal AIIMS_329 90-months,QH0692_42,Mishra2019_dataset1,276
Polyclonal AIIMS_330 102-months,QH0692_42,Mishra2019_dataset1,84
Polyclonal AIIMS_330 112-months,QH0692_42,Mishra2019_dataset1,<50
Polyclonal AIIMS_330 117-months,QH0692_42,Mishra2019_dataset1,394
Polyclonal AIIMS_330 124-months,QH0692_42,Mishra2019_dataset1,458
Polyclonal AIIMS_330 131-months,QH0692_42,Mishra2019_dataset1,363
Polyclonal AIIMS_330 138-months,QH0692_42,Mishra2019_dataset1,322
Polyclonal AIIMS_330 78-months,QH0692_42,Mishra2019_dataset1,<50
Polyclonal AIIMS_330 82-months,QH0692_42,Mishra2019_dataset1,<50
Polyclonal AIIMS_330 90-months,QH0692_42,Mishra2019_dataset1,98
polyclonal CAP206,QH0692_42,Gray2009a,383
polyclonal CAP206,QH0692_42,Morris2011,125
polyclonal CAP256 Year1,QH0692_42,Doria-Rose2014,<45
polyclonal CAP256 Year2,QH0692_42,Doria-Rose2014,<45
polyclonal CAP256 Year3,QH0692_42,Doria-Rose2014,49
polyclonal CAP256 Year4,QH0692_42,Doria-Rose2014,<45
polyclonal CH0457 wk8,QH0692_42,Moody2015,84
polyclonal CH0457 wk96,QH0692_42,Moody2015,154
polyclonal Donor 17,QH0692_42,Walker2011,175.1
polyclonal Donor 24,QH0692_42,Walker2009a,<100
polyclonal Donor 31,QH0692_42,Falkowska2014,51
polyclonal Donor 36,QH0692_42,Walker2011,227.6
polyclonal Donor 39,QH0692_42,Walker2011,359
polyclonal Donor 84,QH0692_42,Walker2011,<100
polyclonal N152,QH0692_42,Huang2014,6528
polyclonal NIH45,QH0692_42,Wu2010,207
polyclonal PC64-M35,QH0692_42,Landais2017_dataset2,72
polyclonal PC64-M35,QH0692_42,Landais2017_dataset1,<50
polyclonal N152,QH209_14M_A2,Huang2014,1490
polyclonal Donor 31,R1166_C1,Falkowska2014,155
polyclonal N152,R1166_C1,Huang2014,6893
polyclonal PC64-M35,R1166_C1,Landais2017_dataset1,58
polyclonal Patient 1,R1166_C1,Scheid2011,>340
polyclonal Patient 3,R1166_C1,Scheid2011,52.01
polyclonal Patient 8,R1166_C1,Scheid2011,>227
polyclonal NIH45,R2,Wu2010,42
polyclonal N152,R2184_C4,Huang2014,1474
polyclonal NIH45,R2184_C4,Wu2010,192
polyclonal PC64-M35,R2184_C4,Landais2017_dataset1,99
polyclonal N152,R3265_C6,Huang2014,35.5
polyclonal PC64-M35,R3265_C6,Landais2017_dataset1,<50
polyclonal CAP206,REJO4541_67,Gray2009a,<40
polyclonal CAP256 Year1,REJO4541_67,Doria-Rose2014,<45
polyclonal CAP256 Year2,REJO4541_67,Doria-Rose2014,<45
polyclonal CAP256 Year3,REJO4541_67,Doria-Rose2014,<45
polyclonal CAP256 Year4,REJO4541_67,Doria-Rose2014,<45
polyclonal CH0457 wk8,REJO4541_67,Moody2015,44
polyclonal CH0457 wk96,REJO4541_67,Moody2015,163
polyclonal N152,REJO4541_67,Huang2014,9758
polyclonal NIH45,REJO4541_67,Wu2010,69
polyclonal PC64-M35,REJO4541_67,Landais2017_dataset2,156
polyclonal PC64-M35,REJO4541_67,Landais2017_dataset1,88
Polyclonal AIIMS_329 102-months,RHPA4259_7,Mishra2019_dataset1,156
Polyclonal AIIMS_329 112-months,RHPA4259_7,Mishra2019_dataset1,141
Polyclonal AIIMS_329 117-months,RHPA4259_7,Mishra2019_dataset1,212
Polyclonal AIIMS_329 124-months,RHPA4259_7,Mishra2019_dataset1,219
Polyclonal AIIMS_329 131-months,RHPA4259_7,Mishra2019_dataset1,102
Polyclonal AIIMS_329 138-months,RHPA4259_7,Mishra2019_dataset1,88
Polyclonal AIIMS_329 78-months,RHPA4259_7,Mishra2019_dataset1,89
Polyclonal AIIMS_329 82-months,RHPA4259_7,Mishra2019_dataset1,110
Polyclonal AIIMS_329 90-months,RHPA4259_7,Mishra2019_dataset1,123
Polyclonal AIIMS_330 102-months,RHPA4259_7,Mishra2019_dataset1,989
Polyclonal AIIMS_330 112-months,RHPA4259_7,Mishra2019_dataset1,2046
Polyclonal AIIMS_330 117-months,RHPA4259_7,Mishra2019_dataset1,1127
Polyclonal AIIMS_330 124-months,RHPA4259_7,Mishra2019_dataset1,1754
Polyclonal AIIMS_330 131-months,RHPA4259_7,Mishra2019_dataset1,963
Polyclonal AIIMS_330 138-months,RHPA4259_7,Mishra2019_dataset1,1487
Polyclonal AIIMS_330 78-months,RHPA4259_7,Mishra2019_dataset1,913
Polyclonal AIIMS_330 82-months,RHPA4259_7,Mishra2019_dataset1,879
Polyclonal AIIMS_330 90-months,RHPA4259_7,Mishra2019_dataset1,913
polyclonal CAP206,RHPA4259_7,Gray2009a,<40
polyclonal CAP256 Year1,RHPA4259_7,Doria-Rose2014,<45
polyclonal CAP256 Year2,RHPA4259_7,Doria-Rose2014,<45
polyclonal CAP256 Year3,RHPA4259_7,Doria-Rose2014,<45
polyclonal CAP256 Year4,RHPA4259_7,Doria-Rose2014,49
polyclonal CH0457 wk8,RHPA4259_7,Moody2015,1781
polyclonal CH0457 wk96,RHPA4259_7,Moody2015,2026
polyclonal N152,RHPA4259_7,Huang2014,1939
polyclonal NIH45,RHPA4259_7,Scheid2011,30
polyclonal NIH45,RHPA4259_7,Wu2010,30
polyclonal PC64-M35,RHPA4259_7,Landais2017_dataset1,<50
polyclonal PC64-M35,RHPA4259_7,Landais2017_dataset2,<50
polyclonal Patient 1,RHPA4259_7,Scheid2011,113
polyclonal Patient 12,RHPA4259_7,Scheid2011,30.1
polyclonal Patient 3,RHPA4259_7,Scheid2011,16.6
polyclonal Patient 8,RHPA4259_7,Scheid2011,154.1
polyclonal N152,S018_18,Huang2014,2603
polyclonal NIH45,S018_18,Wu2010,31
polyclonal NIH45,SC05_8C11_2344,Wu2010,139
polyclonal PC64-M35,SC05_8C11_2344,Landais2017_dataset1,<50
Polyclonal AIIMS_329 102-months,SC422_8,Mishra2019_dataset1,445
Polyclonal AIIMS_329 112-months,SC422_8,Mishra2019_dataset1,326
Polyclonal AIIMS_329 117-months,SC422_8,Mishra2019_dataset1,169
Polyclonal AIIMS_329 124-months,SC422_8,Mishra2019_dataset1,<50
Polyclonal AIIMS_329 131-months,SC422_8,Mishra2019_dataset1,71
Polyclonal AIIMS_329 138-months,SC422_8,Mishra2019_dataset1,151
Polyclonal AIIMS_329 78-months,SC422_8,Mishra2019_dataset1,398
Polyclonal AIIMS_329 82-months,SC422_8,Mishra2019_dataset1,421
Polyclonal AIIMS_329 90-months,SC422_8,Mishra2019_dataset1,435
Polyclonal AIIMS_330 102-months,SC422_8,Mishra2019_dataset1,233
Polyclonal AIIMS_330 112-months,SC422_8,Mishra2019_dataset1,991
Polyclonal AIIMS_330 117-months,SC422_8,Mishra2019_dataset1,1042
Polyclonal AIIMS_330 124-months,SC422_8,Mishra2019_dataset1,1085
Polyclonal AIIMS_330 131-months,SC422_8,Mishra2019_dataset1,369
Polyclonal AIIMS_330 138-months,SC422_8,Mishra2019_dataset1,513
Polyclonal AIIMS_330 78-months,SC422_8,Mishra2019_dataset1,111
Polyclonal AIIMS_330 82-months,SC422_8,Mishra2019_dataset1,125
Polyclonal AIIMS_330 90-months,SC422_8,Mishra2019_dataset1,144
polyclonal CAP206,SC422_8,Gray2009a,<40
polyclonal CAP256 Year1,SC422_8,Doria-Rose2014,<45
polyclonal CAP256 Year2,SC422_8,Doria-Rose2014,<45
polyclonal CAP256 Year3,SC422_8,Doria-Rose2014,<45
polyclonal CAP256 Year4,SC422_8,Doria-Rose2014,<45
polyclonal CH0457 wk8,SC422_8,Moody2015,167
polyclonal CH0457 wk96,SC422_8,Moody2015,385
polyclonal Donor 17,SC422_8,Walker2011,367.3
polyclonal Donor 24,SC422_8,Walker2009a,182
polyclonal Donor 36,SC422_8,Walker2011,<100
polyclonal Donor 39,SC422_8,Walker2011,220
polyclonal Donor 84,SC422_8,Walker2011,228.7
polyclonal N152,SC422_8,Huang2014,3070
polyclonal NIH45,SC422_8,Scheid2011,107
polyclonal NIH45,SC422_8,Wu2010,107
polyclonal PC64-M35,SC422_8,Landais2017_dataset2,230
polyclonal PC64-M35,SC422_8,Landais2017_dataset1,130
polyclonal Patient 1,SC422_8,Scheid2011,49
polyclonal Patient 12,SC422_8,Scheid2011,62.7
polyclonal Patient 3,SC422_8,Scheid2011,25.9
polyclonal Patient 8,SC422_8,Scheid2011,16.6
Polyclonal AIIMS_329 102-months,SF162,Mishra2019_dataset1,1771
Polyclonal AIIMS_329 112-months,SF162,Mishra2019_dataset1,873
Polyclonal AIIMS_329 117-months,SF162,Mishra2019_dataset1,2169
Polyclonal AIIMS_329 124-months,SF162,Mishra2019_dataset1,7762
Polyclonal AIIMS_329 131-months,SF162,Mishra2019_dataset1,1542
Polyclonal AIIMS_329 138-months,SF162,Mishra2019_dataset1,5253
Polyclonal AIIMS_329 78-months,SF162,Mishra2019_dataset1,1615
Polyclonal AIIMS_329 82-months,SF162,Mishra2019_dataset1,1675
Polyclonal AIIMS_329 90-months,SF162,Mishra2019_dataset1,1766
Polyclonal AIIMS_330 102-months,SF162,Mishra2019_dataset1,1767
Polyclonal AIIMS_330 112-months,SF162,Mishra2019_dataset1,4435
Polyclonal AIIMS_330 117-months,SF162,Mishra2019_dataset1,9654
Polyclonal AIIMS_330 124-months,SF162,Mishra2019_dataset1,18574
Polyclonal AIIMS_330 131-months,SF162,Mishra2019_dataset1,15874
Polyclonal AIIMS_330 138-months,SF162,Mishra2019_dataset1,6101
Polyclonal AIIMS_330 78-months,SF162,Mishra2019_dataset1,1568
Polyclonal AIIMS_330 82-months,SF162,Mishra2019_dataset1,1685
Polyclonal AIIMS_330 90-months,SF162,Mishra2019_dataset1,1761
polyclonal BF520,SF162,Simonich2016,>3200
polyclonal CH0457 wk8,SF162,Moody2015,274
polyclonal CH0457 wk96,SF162,Moody2015,474
polyclonal Donor 17,SF162,Walker2011,5329.3
polyclonal Donor 24,SF162,Walker2009a,9777
polyclonal Donor 36,SF162,Walker2011,5103
polyclonal Donor 39,SF162,Walker2011,3043
polyclonal Donor 84,SF162,Walker2011,2049
polyclonal N152,SF162,Huang2014,17317
polyclonal PC64-M35,SF162,Landais2017_dataset2,102
polyclonal PC64-M35,SF162,Landais2017_dataset1,58
polyclonal QA013,SF162,Williams2018,2018
polyclonal PC64-M35,SS1196_1,Landais2017_dataset2,332
polyclonal PC64-M35,SS1196_1,Landais2017_dataset1,188
polyclonal Donor 31,T250_4,Falkowska2014,562
polyclonal N152,T250_4,Huang2014,24732
polyclonal NIH45,T250_4,Scheid2011,90
polyclonal NIH45,T250_4,Wu2010,90
polyclonal PC64-M35,T250_4,Landais2017_dataset1,7511
polyclonal Patient 1,T250_4,Scheid2011,>132
polyclonal Patient 3,T250_4,Scheid2011,560.58
polyclonal Patient 8,T250_4,Scheid2011,55.09
polyclonal Donor 31,T251_18,Falkowska2014,<50
polyclonal N152,T251_18,Huang2014,6192
polyclonal NIH45,T251_18,Scheid2011,841
polyclonal NIH45,T251_18,Wu2010,841
polyclonal PC64-M35,T251_18,Landais2017_dataset1,<50
polyclonal Patient 1,T251_18,Scheid2011,>340
polyclonal Patient 3,T251_18,Scheid2011,104.58
polyclonal Patient 8,T251_18,Scheid2011,92.28
polyclonal N152,T253_11,Huang2014,243
polyclonal NIH45,T253_11,Wu2010,541
polyclonal N152,T255_34,Huang2014,687
polyclonal NIH45,T255_34,Wu2010,476
polyclonal PC64-M35,T255_34,Landais2017_dataset1,2289
polyclonal N152,T257_31,Huang2014,89.7
polyclonal NIH45,T257_31,Wu2010,683
polyclonal PC64-M35,T257_31,Landais2017_dataset1,<50
polyclonal N152,T278_50,Huang2014,2342
polyclonal NIH45,T278_50,Scheid2011,>1000
polyclonal NIH45,T278_50,Wu2010,>1000
polyclonal PC64-M35,T278_50,Landais2017_dataset1,<50
polyclonal Patient 1,T278_50,Scheid2011,>132
polyclonal Patient 3,T278_50,Scheid2011,>132
polyclonal Patient 8,T278_50,Scheid2011,>132
polyclonal N152,T280_5,Huang2014,2740
polyclonal NIH45,T280_5,Wu2010,41
polyclonal CH0457 wk8,TH023_6,Moody2015,13758
polyclonal CH0457 wk96,TH023_6,Moody2015,13659
polyclonal N152,TH966_8,Huang2014,2803
polyclonal NIH45,TH966_8,Wu2010,102
polyclonal N152,TH976_17,Huang2014,3259
polyclonal NIH45,TH976_17,Wu2010,25
Polyclonal AIIMS_329 102-months,THRO4156,Mishra2019_dataset1,82
Polyclonal AIIMS_329 112-months,THRO4156,Mishra2019_dataset1,<50
Polyclonal AIIMS_329 117-months,THRO4156,Mishra2019_dataset1,<50
Polyclonal AIIMS_329 124-months,THRO4156,Mishra2019_dataset1,<50
Polyclonal AIIMS_329 131-months,THRO4156,Mishra2019_dataset1,<50
Polyclonal AIIMS_329 138-months,THRO4156,Mishra2019_dataset1,<50
Polyclonal AIIMS_329 78-months,THRO4156,Mishra2019_dataset1,<50
Polyclonal AIIMS_329 82-months,THRO4156,Mishra2019_dataset1,<50
Polyclonal AIIMS_329 90-months,THRO4156,Mishra2019_dataset1,<50
Polyclonal AIIMS_330 102-months,THRO4156,Mishra2019_dataset1,84
Polyclonal AIIMS_330 112-months,THRO4156,Mishra2019_dataset1,71
Polyclonal AIIMS_330 117-months,THRO4156,Mishra2019_dataset1,129
Polyclonal AIIMS_330 124-months,THRO4156,Mishra2019_dataset1,212
Polyclonal AIIMS_330 131-months,THRO4156,Mishra2019_dataset1,96
Polyclonal AIIMS_330 138-months,THRO4156,Mishra2019_dataset1,146
Polyclonal AIIMS_330 78-months,THRO4156,Mishra2019_dataset1,<50
Polyclonal AIIMS_330 82-months,THRO4156,Mishra2019_dataset1,<50
Polyclonal AIIMS_330 90-months,THRO4156,Mishra2019_dataset1,<50
polyclonal BF520,THRO4156,Simonich2016,<100
polyclonal CAP206,THRO4156,Gray2009a,<40
polyclonal CAP256 Year1,THRO4156,Doria-Rose2014,<45
polyclonal CAP256 Year2,THRO4156,Doria-Rose2014,<45
polyclonal CAP256 Year3,THRO4156,Doria-Rose2014,<45
polyclonal CAP256 Year4,THRO4156,Doria-Rose2014,<45
polyclonal CH0457 wk8,THRO4156,Moody2015,78
polyclonal CH0457 wk96,THRO4156,Moody2015,111
polyclonal Donor 17,THRO4156,Walker2011,<100
polyclonal Donor 24,THRO4156,Walker2009a,<100
polyclonal Donor 31,THRO4156,Falkowska2014,82
polyclonal Donor 36,THRO4156,Walker2011,107.7
polyclonal Donor 39,THRO4156,Walker2011,126
polyclonal Donor 84,THRO4156,Walker2011,1036
polyclonal N152,THRO4156,Huang2014,351
polyclonal NIH45,THRO4156,Wu2010,531
Polyclonal AIIMS_329 102-months,TRJO4551_58,Mishra2019_dataset1,74
Polyclonal AIIMS_329 112-months,TRJO4551_58,Mishra2019_dataset1,71
Polyclonal AIIMS_329 117-months,TRJO4551_58,Mishra2019_dataset1,<50
Polyclonal AIIMS_329 124-months,TRJO4551_58,Mishra2019_dataset1,<50
Polyclonal AIIMS_329 131-months,TRJO4551_58,Mishra2019_dataset1,81
Polyclonal AIIMS_329 138-months,TRJO4551_58,Mishra2019_dataset1,78
Polyclonal AIIMS_329 78-months,TRJO4551_58,Mishra2019_dataset1,86
Polyclonal AIIMS_329 82-months,TRJO4551_58,Mishra2019_dataset1,<50
Polyclonal AIIMS_329 90-months,TRJO4551_58,Mishra2019_dataset1,<50
Polyclonal AIIMS_330 102-months,TRJO4551_58,Mishra2019_dataset1,345
Polyclonal AIIMS_330 112-months,TRJO4551_58,Mishra2019_dataset1,364
Polyclonal AIIMS_330 117-months,TRJO4551_58,Mishra2019_dataset1,527
Polyclonal AIIMS_330 124-months,TRJO4551_58,Mishra2019_dataset1,367
Polyclonal AIIMS_330 131-months,TRJO4551_58,Mishra2019_dataset1,424
Polyclonal AIIMS_330 138-months,TRJO4551_58,Mishra2019_dataset1,218
Polyclonal AIIMS_330 78-months,TRJO4551_58,Mishra2019_dataset1,213
Polyclonal AIIMS_330 82-months,TRJO4551_58,Mishra2019_dataset1,246
Polyclonal AIIMS_330 90-months,TRJO4551_58,Mishra2019_dataset1,310
polyclonal BF520,TRJO4551_58,Simonich2016,124
polyclonal CAP206,TRJO4551_58,Gray2009a,<40
polyclonal CAP256 Year1,TRJO4551_58,Doria-Rose2014,<45
polyclonal CAP256 Year2,TRJO4551_58,Doria-Rose2014,<45
polyclonal CAP256 Year3,TRJO4551_58,Doria-Rose2014,56
polyclonal CAP256 Year4,TRJO4551_58,Doria-Rose2014,<45
polyclonal CH0457 wk8,TRJO4551_58,Moody2015,485
polyclonal CH0457 wk96,TRJO4551_58,Moody2015,663
polyclonal Donor 17,TRJO4551_58,Walker2011,152.5
polyclonal Donor 24,TRJO4551_58,Walker2009a,171
polyclonal Donor 31,TRJO4551_58,Falkowska2014,110
polyclonal Donor 36,TRJO4551_58,Walker2011,1416.1
polyclonal Donor 39,TRJO4551_58,Walker2011,617
polyclonal Donor 84,TRJO4551_58,Walker2011,400.2
polyclonal N152,TRJO4551_58,Huang2014,1231
polyclonal NIH45,TRJO4551_58,Wu2010,163
polyclonal PC64-M35,TRJO4551_58,Landais2017_dataset2,72
polyclonal PC64-M35,TRJO4551_58,Landais2017_dataset1,<50
polyclonal QA013,TRJO4551_58,Williams2018,208
Polyclonal AIIMS_329 102-months,TRO_11,Mishra2019_dataset1,463
Polyclonal AIIMS_329 112-months,TRO_11,Mishra2019_dataset1,124
Polyclonal AIIMS_329 117-months,TRO_11,Mishra2019_dataset1,81
Polyclonal AIIMS_329 124-months,TRO_11,Mishra2019_dataset1,138
Polyclonal AIIMS_329 131-months,TRO_11,Mishra2019_dataset1,91
Polyclonal AIIMS_329 138-months,TRO_11,Mishra2019_dataset1,146
Polyclonal AIIMS_329 78-months,TRO_11,Mishra2019_dataset1,556
Polyclonal AIIMS_329 82-months,TRO_11,Mishra2019_dataset1,569
Polyclonal AIIMS_329 90-months,TRO_11,Mishra2019_dataset1,661
Polyclonal AIIMS_330 102-months,TRO_11,Mishra2019_dataset1,434
Polyclonal AIIMS_330 112-months,TRO_11,Mishra2019_dataset1,1148
Polyclonal AIIMS_330 117-months,TRO_11,Mishra2019_dataset1,1658
Polyclonal AIIMS_330 124-months,TRO_11,Mishra2019_dataset1,1725
Polyclonal AIIMS_330 131-months,TRO_11,Mishra2019_dataset1,1001
Polyclonal AIIMS_330 138-months,TRO_11,Mishra2019_dataset1,1589
Polyclonal AIIMS_330 78-months,TRO_11,Mishra2019_dataset1,292
Polyclonal AIIMS_330 82-months,TRO_11,Mishra2019_dataset1,329
Polyclonal AIIMS_330 90-months,TRO_11,Mishra2019_dataset1,343
polyclonal BF520,TRO_11,Simonich2016,244
polyclonal CAP206,TRO_11,Gray2009a,491
polyclonal CAP206,TRO_11,Morris2011,212
polyclonal CAP256 Year1,TRO_11,Doria-Rose2014,<45
polyclonal CAP256 Year2,TRO_11,Doria-Rose2014,<45
polyclonal CAP256 Year3,TRO_11,Doria-Rose2014,<45
polyclonal CAP256 Year4,TRO_11,Doria-Rose2014,69
polyclonal CH0457 wk8,TRO_11,Moody2015,2760
polyclonal CH0457 wk96,TRO_11,Moody2015,2074
polyclonal Donor 17,TRO_11,Walker2011,2706.9
polyclonal Donor 24,TRO_11,Walker2009a,222
polyclonal Donor 36,TRO_11,Walker2011,454.5
polyclonal Donor 39,TRO_11,Walker2011,2740
polyclonal Donor 84,TRO_11,Walker2011,861.3
polyclonal N152,TRO_11,Huang2014,2773
polyclonal NIH45,TRO_11,Scheid2011,208
polyclonal NIH45,TRO_11,Wu2010,208
polyclonal PC64-M35,TRO_11,Landais2017_dataset2,142
polyclonal PC64-M35,TRO_11,Landais2017_dataset1,80
polyclonal Patient 1,TRO_11,Scheid2011,72
polyclonal Patient 12,TRO_11,Scheid2011,53.6
polyclonal Patient 3,TRO_11,Scheid2011,24.5
polyclonal Patient 8,TRO_11,Scheid2011,62.2
polyclonal QA013,TRO_11,Williams2018,161
polyclonal N152,TV1_29,Huang2014,241
polyclonal NIH45,TV1_29,Wu2010,>1000
polyclonal N152,TZA125_17,Huang2014,11592
polyclonal NIH45,TZA125_17,Wu2010,87
polyclonal N152,TZBD_02,Huang2014,409
polyclonal NIH45,TZBD_02,Wu2010,56
polyclonal N152,UG021_16,Huang2014,7703
polyclonal CAP206,UG024_2,Gray2009a,1556
polyclonal Donor 17,UG024_2,Walker2011,<100
polyclonal Donor 24,UG024_2,Walker2009a,112
polyclonal Donor 36,UG024_2,Walker2011,138.1
polyclonal Donor 39,UG024_2,Walker2011,1930
polyclonal Donor 84,UG024_2,Walker2011,202
polyclonal N152,UG024_2,Huang2014,11754
polyclonal NIH45,UG024_2,Wu2010,14
polyclonal Donor 17,UG037_8,Walker2011,1120.4
polyclonal Donor 24,UG037_8,Walker2009a,1252
polyclonal Donor 36,UG037_8,Walker2011,1431.8
polyclonal Donor 39,UG037_8,Walker2011,410
polyclonal Donor 84,UG037_8,Walker2011,501.8
polyclonal N152,UG037_8,Huang2014,2490
polyclonal NIH45,UG037_8,Wu2010,220
polyclonal Donor 17,VLGC_A1,Walker2011,<100
polyclonal Donor 24,VLGC_A1,Walker2009a,197
polyclonal Donor 36,VLGC_A1,Walker2011,203.2
polyclonal Donor 39,VLGC_A1,Walker2011,<100
polyclonal Donor 84,VLGC_A1,Walker2011,311.2
polyclonal Donor 17,VLGC_B3,Walker2011,2961.7
polyclonal Donor 24,VLGC_B3,Walker2009a,244
polyclonal Donor 36,VLGC_B3,Walker2011,1333
polyclonal Donor 39,VLGC_B3,Walker2011,754
polyclonal Donor 84,VLGC_B3,Walker2011,238.5
polyclonal CH0457 wk8,WEAU_D15_410,Moody2015,1004
polyclonal CH0457 wk96,WEAU_D15_410,Moody2015,1241
polyclonal NIH45,WEAU_D15_410,Wu2010,52
polyclonal PC64-M35,WEAU_D15_410,Landais2017_dataset1,71
polyclonal CAP206,WITO4160_33,Gray2009a,144
polyclonal CAP256 Year1,WITO4160_33,Doria-Rose2014,56
polyclonal CAP256 Year2,WITO4160_33,Doria-Rose2014,219
polyclonal CAP256 Year3,WITO4160_33,Doria-Rose2014,293
polyclonal CAP256 Year4,WITO4160_33,Doria-Rose2014,99
polyclonal N152,WITO4160_33,Huang2014,133
polyclonal NIH45,WITO4160_33,Wu2010,312
polyclonal PC64-M35,WITO4160_33,Landais2017_dataset2,8760
polyclonal PC64-M35,WITO4160_33,Landais2017_dataset1,4955
polyclonal PC64-M35,X1193_C1,Landais2017_dataset1,<50
polyclonal PC64-M35,X1254_C3,Landais2017_dataset1,<50
polyclonal Patient 1,X1254_C3,Scheid2011,222.01
polyclonal Patient 3,X1254_C3,Scheid2011,81.48
polyclonal Patient 8,X1254_C3,Scheid2011,>227
Polyclonal AIIMS_329 102-months,X1632_S2_B10,Mishra2019_dataset1,<50
Polyclonal AIIMS_329 112-months,X1632_S2_B10,Mishra2019_dataset1,<50
Polyclonal AIIMS_329 117-months,X1632_S2_B10,Mishra2019_dataset1,<50
Polyclonal AIIMS_329 124-months,X1632_S2_B10,Mishra2019_dataset1,<50
Polyclonal AIIMS_329 131-months,X1632_S2_B10,Mishra2019_dataset1,<50
Polyclonal AIIMS_329 138-months,X1632_S2_B10,Mishra2019_dataset1,<50
Polyclonal AIIMS_329 78-months,X1632_S2_B10,Mishra2019_dataset1,81
Polyclonal AIIMS_329 82-months,X1632_S2_B10,Mishra2019_dataset1,84
Polyclonal AIIMS_329 90-months,X1632_S2_B10,Mishra2019_dataset1,<50
Polyclonal AIIMS_330 102-months,X1632_S2_B10,Mishra2019_dataset1,346
Polyclonal AIIMS_330 112-months,X1632_S2_B10,Mishra2019_dataset1,490
Polyclonal AIIMS_330 117-months,X1632_S2_B10,Mishra2019_dataset1,398
Polyclonal AIIMS_330 124-months,X1632_S2_B10,Mishra2019_dataset1,284
Polyclonal AIIMS_330 131-months,X1632_S2_B10,Mishra2019_dataset1,146
Polyclonal AIIMS_330 138-months,X1632_S2_B10,Mishra2019_dataset1,156
Polyclonal AIIMS_330 78-months,X1632_S2_B10,Mishra2019_dataset1,64
Polyclonal AIIMS_330 82-months,X1632_S2_B10,Mishra2019_dataset1,78
Polyclonal AIIMS_330 90-months,X1632_S2_B10,Mishra2019_dataset1,214
polyclonal BF520,X1632_S2_B10,Simonich2016,116
polyclonal Donor 31,X1632_S2_B10,Falkowska2014,154
polyclonal PC64-M35,X1632_S2_B10,Landais2017_dataset1,438
polyclonal QA013,X1632_S2_B10,Williams2018,<100
polyclonal N152,X2088_C9,Huang2014,8786
polyclonal PC64-M35,X2088_C9,Landais2017_dataset1,<50
polyclonal Donor 31,X2131_C1_B5,Falkowska2014,1738
polyclonal PC64-M35,X2131_C1_B5,Landais2017_dataset1,334
Polyclonal AIIMS_329 102-months,X2278_C2_B6,Mishra2019_dataset1,<50
Polyclonal AIIMS_329 112-months,X2278_C2_B6,Mishra2019_dataset1,<50
Polyclonal AIIMS_329 117-months,X2278_C2_B6,Mishra2019_dataset1,78
Polyclonal AIIMS_329 124-months,X2278_C2_B6,Mishra2019_dataset1,<50
Polyclonal AIIMS_329 131-months,X2278_C2_B6,Mishra2019_dataset1,94
Polyclonal AIIMS_329 138-months,X2278_C2_B6,Mishra2019_dataset1,96
Polyclonal AIIMS_329 78-months,X2278_C2_B6,Mishra2019_dataset1,124
Polyclonal AIIMS_329 82-months,X2278_C2_B6,Mishra2019_dataset1,110
Polyclonal AIIMS_329 90-months,X2278_C2_B6,Mishra2019_dataset1,<50
Polyclonal AIIMS_330 102-months,X2278_C2_B6,Mishra2019_dataset1,847
Polyclonal AIIMS_330 112-months,X2278_C2_B6,Mishra2019_dataset1,1906
Polyclonal AIIMS_330 117-months,X2278_C2_B6,Mishra2019_dataset1,1487
Polyclonal AIIMS_330 124-months,X2278_C2_B6,Mishra2019_dataset1,1097
Polyclonal AIIMS_330 131-months,X2278_C2_B6,Mishra2019_dataset1,2239
Polyclonal AIIMS_330 138-months,X2278_C2_B6,Mishra2019_dataset1,2138
Polyclonal AIIMS_330 78-months,X2278_C2_B6,Mishra2019_dataset1,456
Polyclonal AIIMS_330 82-months,X2278_C2_B6,Mishra2019_dataset1,218
Polyclonal AIIMS_330 90-months,X2278_C2_B6,Mishra2019_dataset1,249
polyclonal BF520,X2278_C2_B6,Simonich2016,183
polyclonal QA013,X2278_C2_B6,Williams2018,282
polyclonal N152,YU2,Huang2014,279
polyclonal NIH45,YU2,Scheid2011,92
polyclonal NIH45,YU2,Wu2010,92
polyclonal PC64-M35,YU2,Landais2017_dataset2,66
polyclonal Patient 1,YU2,Scheid2011,131
polyclonal Patient 12,YU2,Scheid2011,50.6
polyclonal Patient 3,YU2,Scheid2011,25.4
polyclonal Patient 8,YU2,Scheid2011,32.7
polyclonal Donor 17,ZA012_29,Walker2011,8150
polyclonal Donor 24,ZA012_29,Walker2009a,188
polyclonal Donor 36,ZA012_29,Walker2011,433
polyclonal Donor 39,ZA012_29,Walker2011,594
polyclonal Donor 84,ZA012_29,Walker2011,1083.1
polyclonal N152,ZA012_29,Huang2014,39
polyclonal NIH45,ZA012_29,Wu2010,72
polyclonal N152,ZM106_9,Huang2014,256
polyclonal NIH45,ZM106_9,Wu2010,212
polyclonal BF520,ZM109_4,Simonich2016,108
polyclonal CAP256 Year1,ZM109_4,Doria-Rose2014,<45
polyclonal CAP256 Year2,ZM109_4,Doria-Rose2014,70
polyclonal CAP256 Year3,ZM109_4,Doria-Rose2014,398
